Date,Ticker,Close
1992-08-18,LTC,1.25
1992-08-19,LTC,1.25
1992-08-20,LTC,1.25
1992-08-21,LTC,1.25
1992-08-24,LTC,1.26
1992-08-25,LTC,1.25
1992-08-26,LTC,1.25
1992-08-27,LTC,1.26
1992-08-28,LTC,1.26
1992-08-31,LTC,1.26
1992-09-01,LTC,1.26
1992-09-02,LTC,1.26
1992-09-03,LTC,1.26
1992-09-04,LTC,1.26
1992-09-08,LTC,1.26
1992-09-09,LTC,1.26
1992-09-10,LTC,1.26
1992-09-11,LTC,1.25
1992-09-14,LTC,1.26
1992-09-15,LTC,1.28
1992-09-16,LTC,1.28
1992-09-17,LTC,1.28
1992-09-18,LTC,1.29
1992-09-21,LTC,1.29
1992-09-22,LTC,1.29
1992-09-23,LTC,1.29
1992-09-24,LTC,1.29
1992-09-25,LTC,1.29
1992-09-28,LTC,1.29
1992-09-29,LTC,1.28
1992-09-30,LTC,1.28
1992-10-01,LTC,1.26
1992-10-02,LTC,1.3
1992-10-05,LTC,1.26
1992-10-06,LTC,1.3
1992-10-07,LTC,1.3
1992-10-08,LTC,1.31
1992-10-09,LTC,1.31
1992-10-12,LTC,1.31
1992-10-13,LTC,1.31
1992-10-14,LTC,1.3
1992-10-15,LTC,1.31
1992-10-16,LTC,1.31
1992-10-19,LTC,1.31
1992-10-20,LTC,1.3
1992-10-21,LTC,1.31
1992-10-22,LTC,1.33
1992-10-23,LTC,1.31
1992-10-26,LTC,1.31
1992-10-27,LTC,1.28
1992-10-28,LTC,1.31
1992-10-29,LTC,1.31
1992-10-30,LTC,1.31
1992-11-02,LTC,1.31
1992-11-03,LTC,1.31
1992-11-04,LTC,1.3
1992-11-05,LTC,1.31
1992-11-06,LTC,1.31
1992-11-09,LTC,1.31
1992-11-10,LTC,1.28
1992-11-11,LTC,1.3
1992-11-12,LTC,1.3
1992-11-13,LTC,1.28
1992-11-16,LTC,1.3
1992-11-17,LTC,1.3
1992-11-18,LTC,1.31
1992-11-19,LTC,1.31
1992-11-20,LTC,1.31
1992-11-23,LTC,1.31
1992-11-24,LTC,1.3
1992-11-25,LTC,1.3
1992-11-27,LTC,1.3
1992-11-30,LTC,1.28
1992-12-01,LTC,1.3
1992-12-02,LTC,1.28
1992-12-03,LTC,1.28
1992-12-04,LTC,1.28
1992-12-07,LTC,1.3
1992-12-08,LTC,1.3
1992-12-09,LTC,1.34
1992-12-10,LTC,1.33
1992-12-11,LTC,1.36
1992-12-14,LTC,1.34
1992-12-15,LTC,1.3
1992-12-16,LTC,1.33
1992-12-17,LTC,1.31
1992-12-18,LTC,1.31
1992-12-21,LTC,1.3
1992-12-22,LTC,1.28
1992-12-23,LTC,1.3
1992-12-24,LTC,1.31
1992-12-28,LTC,1.31
1992-12-29,LTC,1.33
1992-12-30,LTC,1.31
1992-12-31,LTC,1.31
1993-01-04,LTC,1.31
1993-01-05,LTC,1.31
