,date,text,compound,positive,negative,neutral
29,2021-09-13,Several big corporations including major retailers have taken an active interest in cryptocurrencies like bitcoin. We saw speculation recently indicating that crypto payments might be coming to Amazo… [+3071 chars],0.802,0.233,0.0,0.767
30,2021-08-23,"PayPal Holdings Inc. will start giving its U.K. users the ability to buy and sell cryptocurrencies on its platform, marking the expansion of a feature that the company said has proved popular in the … [+1604 chars]",0.7579,0.19,0.0,0.81
31,2021-09-07,"NBA star Stephen Curry appears to be interested in cryptocurrency.The former league MVP, who plays for the Golden State Warriors, put out a message on Monday night to his 15.5 million Twitter 
 TWTR… [+2251 chars]",0.5719,0.128,0.0,0.872
32,2021-09-13,"Cryptocurrency Litecoin saw a sudden surge in price on Monday over a press release about Walmart accepting it for payment - which turned out to be fake. 
The release, published through a legitimate … [+2809 chars]",-0.128,0.075,0.089,0.836
33,2021-09-13,"A news release published on Monday morning claiming that Walmart would begin accepting payments in Litecoin, a digital currency, drove up its price by 30 percent before the retail giant said that the… [+722 chars]",0.3818,0.075,0.0,0.925
34,2021-08-24,"PayPal has now expanded its cryptocurrency support across the pond to the United Kingdom.
Much like its U.S. counterpart which launched almost a year earlier the new service in the U.K. will allow u… [+1275 chars]",0.8555,0.275,0.0,0.725
35,2021-08-23,"In 2013, several popular torrent sites added the option to donate via Bitcoin. The Pirate Bay was one of the first to jump on board and within a day the site’s users had donated a total of 5.5 bitcoi… [+2890 chars]",0.4215,0.069,0.0,0.931
36,2021-09-05,"Litecoin prices have more than doubled since July. (Photo by Chesnot/Getty Images)
Getty Images
Litecoin prices have rallied lately, climbing to their highest since mid-May as the digital currencys… [+2472 chars]",0.0,0.0,0.0,1.0
37,2021-08-23,"The company has not said how many of its 403m accounts are in the UK, but the country accounts for just over 10pc of its revenues.
PayPal said it would include educational content warning of the ris… [+1264 chars]",-0.4767,0.0,0.075,0.925
38,2021-08-23,"image captionPayPal plans to expand its service internationally in the coming months
PayPal customers in the UK will now be able to use the platform to buy, hold and sell cryptocurrency, with invest… [+2591 chars]",0.3182,0.063,0.0,0.937
