Date,Ticker,Close
04-28-2013,BTC,135.3
04-29-2013,BTC,141.96
04-30-2013,BTC,135.3
05-01-2013,BTC,117.0
05-02-2013,BTC,103.43
05-03-2013,BTC,91.01
05-04-2013,BTC,111.25
05-05-2013,BTC,116.79
05-06-2013,BTC,118.33
05-07-2013,BTC,106.4
05-08-2013,BTC,112.64
05-09-2013,BTC,113.0
05-10-2013,BTC,118.78
05-11-2013,BTC,113.01
05-12-2013,BTC,114.71
05-13-2013,BTC,117.18
05-14-2013,BTC,114.5
05-15-2013,BTC,114.16
05-16-2013,BTC,115.5
05-17-2013,BTC,123.1
05-18-2013,BTC,123.88
05-19-2013,BTC,120.5
05-20-2013,BTC,122.58
05-21-2013,BTC,122.9
05-22-2013,BTC,123.0
05-23-2013,BTC,125.75
05-24-2013,BTC,131.7
05-25-2013,BTC,130.77
05-26-2013,BTC,134.6
05-27-2013,BTC,128.99
05-28-2013,BTC,129.18
05-29-2013,BTC,132.13
05-30-2013,BTC,127.4
05-31-2013,BTC,127.98
06-01-2013,BTC,129.09
06-02-2013,BTC,121.3
06-03-2013,BTC,121.16
06-05-2013,BTC,121.31
06-06-2013,BTC,121.71
06-07-2013,BTC,119.0
06-08-2013,BTC,110.09
06-09-2013,BTC,108.4
06-10-2013,BTC,99.75
06-11-2013,BTC,105.99
06-12-2013,BTC,108.9
06-13-2013,BTC,108.4
06-14-2013,BTC,102.77
06-15-2013,BTC,98.4
06-16-2013,BTC,99.99
06-17-2013,BTC,100.42
06-18-2013,BTC,102.0
06-19-2013,BTC,106.55
06-20-2013,BTC,107.9
06-21-2013,BTC,110.91
06-22-2013,BTC,109.02
06-23-2013,BTC,107.25
06-24-2013,BTC,108.0
06-25-2013,BTC,102.44
06-26-2013,BTC,103.69
06-27-2013,BTC,103.39
06-28-2013,BTC,99.66
06-29-2013,BTC,93.33
06-30-2013,BTC,95.39
07-01-2013,BTC,97.5
07-02-2013,BTC,89.49
07-03-2013,BTC,90.8
07-04-2013,BTC,78.8
07-05-2013,BTC,78.48
07-06-2013,BTC,67.81
07-07-2013,BTC,68.08
07-08-2013,BTC,77.5
07-09-2013,BTC,76.39
07-10-2013,BTC,77.0
07-11-2013,BTC,85.75
07-12-2013,BTC,93.8
07-13-2013,BTC,88.06
07-14-2013,BTC,95.58
07-15-2013,BTC,94.0
07-16-2013,BTC,97.3
07-17-2013,BTC,98.98
07-18-2013,BTC,97.8
07-19-2013,BTC,88.79
07-20-2013,BTC,91.57
07-21-2013,BTC,89.28
07-22-2013,BTC,90.37
07-23-2013,BTC,91.7
07-24-2013,BTC,94.58
07-25-2013,BTC,94.52
07-26-2013,BTC,96.95
07-27-2013,BTC,94.13
07-28-2013,BTC,94.0
07-29-2013,BTC,98.58
07-30-2013,BTC,101.5
07-31-2013,BTC,110.34
08-01-2013,BTC,106.23
08-02-2013,BTC,101.61
08-03-2013,BTC,103.7
08-04-2013,BTC,104.86
08-05-2013,BTC,106.56
08-06-2013,BTC,105.84
08-07-2013,BTC,106.75
08-08-2013,BTC,101.67
08-09-2013,BTC,103.4
08-10-2013,BTC,102.71
08-11-2013,BTC,103.77
08-12-2013,BTC,105.18
08-13-2013,BTC,106.07
08-14-2013,BTC,111.62
08-15-2013,BTC,111.87
08-16-2013,BTC,109.87
08-17-2013,BTC,112.74
08-18-2013,BTC,114.4
08-19-2013,BTC,118.78
08-20-2013,BTC,120.5
08-21-2013,BTC,121.51
08-22-2013,BTC,122.5
08-23-2013,BTC,120.0
08-24-2013,BTC,120.44
08-25-2013,BTC,122.0
08-26-2013,BTC,122.04
08-27-2013,BTC,125.67
08-28-2013,BTC,123.02
08-29-2013,BTC,123.44
08-30-2013,BTC,129.2
08-31-2013,BTC,137.76
09-01-2013,BTC,138.17
09-02-2013,BTC,137.17
09-03-2013,BTC,137.51
09-04-2013,BTC,135.21
09-05-2013,BTC,129.96
09-06-2013,BTC,126.13
09-07-2013,BTC,123.73
09-08-2013,BTC,121.77
09-09-2013,BTC,126.4
09-10-2013,BTC,127.78
09-11-2013,BTC,131.65
09-12-2013,BTC,134.22
09-13-2013,BTC,135.05
09-14-2013,BTC,131.39
09-15-2013,BTC,129.95
09-16-2013,BTC,131.48
09-17-2013,BTC,131.31
09-18-2013,BTC,132.06
09-19-2013,BTC,130.23
09-20-2013,BTC,128.57
09-21-2013,BTC,126.78
09-22-2013,BTC,128.37
09-23-2013,BTC,126.73
09-24-2013,BTC,126.09
09-25-2013,BTC,127.99
09-26-2013,BTC,128.02
09-27-2013,BTC,131.84
09-28-2013,BTC,133.93
09-29-2013,BTC,140.28
09-30-2013,BTC,131.65
10-01-2013,BTC,132.55
10-02-2013,BTC,132.04
10-03-2013,BTC,123.07
10-04-2013,BTC,128.26
10-05-2013,BTC,129.57
10-06-2013,BTC,127.56
10-07-2013,BTC,128.38
10-08-2013,BTC,125.72
10-09-2013,BTC,130.9
10-10-2013,BTC,129.68
10-11-2013,BTC,130.27
10-12-2013,BTC,135.35
10-13-2013,BTC,135.48
10-14-2013,BTC,140.48
10-15-2013,BTC,143.89
10-16-2013,BTC,143.61
10-17-2013,BTC,146.15
10-18-2013,BTC,151.34
10-19-2013,BTC,170.51
10-20-2013,BTC,172.01
10-21-2013,BTC,181.41
10-22-2013,BTC,193.45
10-23-2013,BTC,206.78
10-24-2013,BTC,198.8
10-25-2013,BTC,172.48
10-26-2013,BTC,178.96
10-27-2013,BTC,189.83
10-28-2013,BTC,198.55
10-29-2013,BTC,204.39
10-30-2013,BTC,204.2
10-31-2013,BTC,203.88
11-01-2013,BTC,205.26
11-02-2013,BTC,206.89
11-03-2013,BTC,212.45
11-04-2013,BTC,226.28
11-05-2013,BTC,230.63
11-06-2013,BTC,260.85
11-07-2013,BTC,295.63
11-08-2013,BTC,332.02
11-09-2013,BTC,358.0
11-10-2013,BTC,313.0
11-11-2013,BTC,340.55
11-12-2013,BTC,355.48
11-13-2013,BTC,404.17
11-14-2013,BTC,408.84
11-15-2013,BTC,424.16
11-16-2013,BTC,437.41
11-17-2013,BTC,488.36
11-18-2013,BTC,580.87
11-19-2013,BTC,614.4
11-20-2013,BTC,565.34
11-21-2013,BTC,675.06
11-22-2013,BTC,731.15
11-23-2013,BTC,819.31
11-24-2013,BTC,764.43
11-25-2013,BTC,793.07
11-26-2013,BTC,832.93
11-27-2013,BTC,914.13
11-28-2013,BTC,979.08
11-29-2013,BTC,1101.83
11-30-2013,BTC,1127.45
12-01-2013,BTC,1033.39
12-02-2013,BTC,974.03
12-03-2013,BTC,1078.64
12-04-2013,BTC,1121.48
12-05-2013,BTC,989.04
12-06-2013,BTC,1019.66
12-07-2013,BTC,811.98
12-08-2013,BTC,743.11
12-09-2013,BTC,897.89
12-10-2013,BTC,927.78
12-11-2013,BTC,887.08
12-12-2013,BTC,878.17
12-13-2013,BTC,897.27
